,City Name,Country Code,Date (UTC),Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Avarua,CK,2020-04-12 01:18:41,-21.21,-159.78,84.2,89,96,5.82
1,Hasaki,JP,2020-04-12 01:18:53,35.73,140.83,54.34,76,75,11.41
2,Puerto Ayora,EC,2020-04-12 01:18:53,-0.74,-90.35,80.87,74,75,11.41
3,Kangaba,ML,2020-04-12 01:18:53,11.93,-8.42,85.75,39,99,4.12
4,Kalat,PK,2020-04-12 01:18:53,29.02,66.59,59.18,26,48,4.65
5,Punta Arenas,CL,2020-04-12 01:17:44,-53.15,-70.92,42.4,81,75,10.29
6,Rikitea,PF,2020-04-12 01:18:53,-23.12,-134.97,78.06,73,49,4.88
7,Vostok,RU,2020-04-12 01:18:54,46.49,135.88,37.56,51,23,4.47
8,Chernenko,RU,2020-04-12 01:18:54,44.37,39.31,38.66,78,87,1.48
9,Sidi Ali,DZ,2020-04-12 01:18:54,36.1,0.42,59.85,79,100,7.02
10,Ushuaia,AR,2020-04-12 01:18:21,-54.8,-68.3,41.0,75,40,20.8
11,Lazarev,RU,2020-04-12 01:18:54,52.23,141.51,33.75,90,67,11.95
12,Det Udom,TH,2020-04-12 01:18:54,14.91,105.08,83.16,83,40,5.82
13,Atuona,PF,2020-04-12 01:18:54,-9.8,-139.03,82.67,64,38,5.21
14,Baker City,US,2020-04-12 01:15:18,44.77,-117.83,51.49,29,1,24.16
15,Castro,BR,2020-04-12 01:18:54,-24.79,-50.01,56.14,72,15,4.54
16,Coldingham,GB,2020-04-12 01:18:54,55.89,-2.16,48.85,81,81,10.29
17,Pinawa,CA,2020-04-12 01:18:54,50.15,-95.88,30.7,81,100,10.25
18,Cape Town,ZA,2020-04-12 01:18:54,-33.93,18.42,64.24,93,75,20.8
19,Kortkeros,RU,2020-04-12 01:18:54,61.81,51.58,24.8,85,40,4.47
20,Kapaa,US,2020-04-12 01:18:54,22.08,-159.32,75.29,73,90,17.22
21,Bengkulu,ID,2020-04-12 01:14:17,-3.8,102.27,79.36,81,72,5.48
22,Luderitz,NA,2020-04-12 01:18:54,-26.65,15.16,57.2,87,0,4.7
